2456886.3188, HD 146233, 2.191, 13.2525, RSS, SPECTROSCOPY
2456886.3188, HD 146233, 2.191, 13.2525, RSS, SPECTROSCOPY
2456886.3188, HD 146233, 2.191, 13.2525, RSS, SPECTROSCOPY
2456886.31904, HD 146233, 2.191, 13.2525, RSS, SPECTROSCOPY
2456886.31904, HD 146233, 2.191, 13.2525, RSS, SPECTROSCOPY
2456886.31904, HD 146233, 2.191, 13.2525, RSS, SPECTROSCOPY
2456886.31904, HD 146233, 2.191, 13.2525, RSS, SPECTROSCOPY
2456886.31904, HD 146233, 2.191, 13.2525, RSS, SPECTROSCOPY
2456886.32653, HD 146233, 4.191, 20.375, RSS, SPECTROSCOPY
2456886.32653, HD 146233, 4.191, 20.375, RSS, SPECTROSCOPY
2456886.32653, HD 146233, 4.191, 20.375, RSS, SPECTROSCOPY
2456886.32653, HD 146233, 4.191, 20.375, RSS, SPECTROSCOPY
2456886.32653, HD 146233, 4.191, 20.375, RSS, SPECTROSCOPY
2456886.32679, HD 146233, 4.192, 20.375, RSS, SPECTROSCOPY
2456886.32679, HD 146233, 4.192, 20.375, RSS, SPECTROSCOPY
2456886.32679, HD 146233, 4.192, 20.375, RSS, SPECTROSCOPY
2456886.32679, HD 146233, 4.192, 20.375, RSS, SPECTROSCOPY
2456886.32679, HD 146233, 4.192, 20.375, RSS, SPECTROSCOPY
2456886.32707, HD 146233, 2.191, 20.375, RSS, SPECTROSCOPY
2456886.32707, HD 146233, 2.191, 20.375, RSS, SPECTROSCOPY
2456886.32707, HD 146233, 2.191, 20.375, RSS, SPECTROSCOPY
2456886.32707, HD 146233, 2.191, 20.375, RSS, SPECTROSCOPY
2456886.32707, HD 146233, 2.191, 20.375, RSS, SPECTROSCOPY
2456886.3334, HD 146233, 2.191, 1.44, RSS, FABRY-PEROT
2456886.4139, Pluto, 1.00099992752, , SALTICAM, IMAGING
2456886.41679, Pluto, 300.19, 13.2475, RSS, SPECTROSCOPY
2456886.41679, Pluto, 300.19, 13.2475, RSS, SPECTROSCOPY
2456886.41679, Pluto, 300.19, 13.2475, RSS, SPECTROSCOPY
2456886.41679, Pluto, 300.19, 13.2475, RSS, SPECTROSCOPY
2456886.41679, Pluto, 300.19, 13.2475, RSS, SPECTROSCOPY
2456886.41728, Pluto, 2.03400015831, , SALTICAM, IMAGING
2456886.42047, Pluto, 300.191, 13.2475, RSS, SPECTROSCOPY
2456886.42047, Pluto, 300.191, 13.2475, RSS, SPECTROSCOPY
2456886.42047, Pluto, 300.191, 13.2475, RSS, SPECTROSCOPY
2456886.42047, Pluto, 300.191, 13.2475, RSS, SPECTROSCOPY
2456886.42047, Pluto, 300.191, 13.2475, RSS, SPECTROSCOPY
2456886.42954, Pluto, 272.192, 20.3775, RSS, SPECTROSCOPY
2456886.42954, Pluto, 272.192, 20.3775, RSS, SPECTROSCOPY
2456886.42954, Pluto, 272.192, 20.3775, RSS, SPECTROSCOPY
2456886.42954, Pluto, 272.192, 20.3775, RSS, SPECTROSCOPY
2456886.42954, Pluto, 272.192, 20.3775, RSS, SPECTROSCOPY
2456886.43291, Pluto, 272.193, 20.3775, RSS, SPECTROSCOPY
2456886.43291, Pluto, 272.193, 20.3775, RSS, SPECTROSCOPY
2456886.43291, Pluto, 272.193, 20.3775, RSS, SPECTROSCOPY
2456886.43291, Pluto, 272.193, 20.3775, RSS, SPECTROSCOPY
2456886.43291, Pluto, 272.193, 20.3775, RSS, SPECTROSCOPY
2456888.41014, Pluto, 300.192, 13.2475, RSS, SPECTROSCOPY
2456888.41014, Pluto, 300.192, 13.2475, RSS, SPECTROSCOPY
2456888.41014, Pluto, 300.192, 13.2475, RSS, SPECTROSCOPY
2456888.41014, Pluto, 300.192, 13.2475, RSS, SPECTROSCOPY
2456888.41014, Pluto, 300.192, 13.2475, RSS, SPECTROSCOPY
2456888.41079, Pluto, 2.0, , SALTICAM, IMAGING
2456888.41383, Pluto, 300.192, 13.2475, RSS, SPECTROSCOPY
2456888.41383, Pluto, 300.192, 13.2475, RSS, SPECTROSCOPY
2456888.41383, Pluto, 300.192, 13.2475, RSS, SPECTROSCOPY
2456888.41383, Pluto, 300.192, 13.2475, RSS, SPECTROSCOPY
2456888.41383, Pluto, 300.192, 13.2475, RSS, SPECTROSCOPY
2456888.4235, Pluto, 275.193, 20.3775, RSS, SPECTROSCOPY
2456888.4235, Pluto, 275.193, 20.3775, RSS, SPECTROSCOPY
